表6.1 用户认证模块测试
测试编号,测试项目,输入数据,预期结果,实际结果,是否通过
TC-001,正常注册,邮箱：test@example.com，密码：123456,注册成功，返回JWT令牌,注册成功，返回访问令牌和刷新令牌,通过
TC-002,邮箱为空,邮箱：空，密码：123456,提示"邮箱不能为空",返回错误提示"邮箱不能为空",通过
TC-003,邮箱格式错误,邮箱：invalid，密码：123456,提示"邮箱格式不正确",返回错误提示"邮箱格式不正确",通过
TC-004,密码为空,邮箱：test@example.com，密码：空,提示"密码不能为空",返回错误提示"密码不能为空",通过
TC-005,密码过短,邮箱：test@example.com，密码：12345,提示"密码长度必须在6-20个字符之间",返回错误提示"密码长度必须在6-20个字符之间",通过
TC-006,邮箱已存在,邮箱：existing@example.com，密码：123456,提示"该邮箱已被注册",返回错误提示"该邮箱已被注册",通过
TC-007,正常登录,邮箱：test@example.com，密码：123456,登录成功，返回JWT令牌,登录成功，返回访问令牌和用户信息,通过
TC-008,登录邮箱为空,邮箱：空，密码：123456,提示"邮箱不能为空",返回错误提示"邮箱不能为空",通过
TC-009,登录密码为空,邮箱：test@example.com，密码：空,提示"密码不能为空",返回错误提示"密码不能为空",通过
TC-010,邮箱不存在,邮箱：notexist@example.com，密码：123456,提示"邮箱或密码错误",返回错误提示"邮箱或密码错误",通过
TC-011,密码错误,邮箱：test@example.com，密码：wrongpwd,提示"邮箱或密码错误",返回错误提示"邮箱或密码错误",通过
TC-012,令牌自动续期,令牌剩余有效期：1天,自动生成新令牌,返回新的访问令牌,通过
TC-013,令牌过期,令牌剩余有效期：0天,提示"令牌已过期，请重新登录",返回401未授权状态,通过
TC-014,刷新令牌,刷新令牌有效,返回新的访问令牌,返回新的访问令牌,通过

表6.2 流式对话模块测试
测试编号,测试项目,输入数据,预期结果,实际结果,是否通过
TC-015,创建新对话,模型：gpt-4o-mini，角色ID：1,创建成功，返回对话ID,创建成功，返回对话ID和系统提示词,通过
TC-016,模型不可用,模型：invalid_model，角色ID：1,提示"模型不可用",返回错误提示"模型不可用",通过
TC-017,角色不存在,模型：gpt-4o-mini，角色ID：99999,提示"角色不存在",返回错误提示"角色不存在",通过
TC-018,发送消息,对话ID：1，消息："你好",消息发送成功，返回消息ID,消息保存成功，返回消息ID和时间戳,通过
TC-019,消息内容为空,对话ID：1，消息：空,提示"消息内容不能为空",返回错误提示"消息内容不能为空",通过
TC-020,对话不存在,对话ID：99999，消息："你好",提示"对话不存在",返回错误提示"对话不存在",通过
TC-021,频率限制,1秒内发送10条消息,第6条消息被限流,返回错误提示"请求过于频繁",通过
TC-022,WebSocket连接,有效JWT令牌,连接成功,WebSocket握手成功，建立连接,通过
TC-023,WebSocket无效令牌,无效JWT令牌,连接失败,握手失败，返回401,通过
TC-024,流式推送,发送消息，启用流式,逐字推送AI回复,实时推送回复内容，支持分段,通过
TC-025,启用联网搜索,对话ID：1，消息："最新新闻"，enableWebSearch：true,AI调用搜索功能,搜索结果融入回复,通过
TC-026,禁用联网搜索,对话ID：1，消息："最新新闻"，enableWebSearch：false,AI不调用搜索功能,仅基于模型知识回复,通过
TC-027,对话历史管理,对话ID：1，查询历史,返回最多20条历史消息,返回按时间排序的消息列表,通过
TC-028,Token预算裁剪,对话消息超过2500 tokens,自动裁剪历史消息,保持总token数在预算内,通过

表6.3 角色管理模块测试
测试编号,测试项目,输入数据,预期结果,实际结果,是否通过
TC-029,创建私人角色,角色名：测试角色，人设：友好助手,创建成功，返回角色ID,创建成功，自动生成开场白音频,通过
TC-030,角色名为空,角色名：空，人设：友好助手,提示"角色名不能为空",返回错误提示"角色名不能为空",通过
TC-031,角色名已存在,角色名：existing_role，人设：友好助手,提示"角色名已存在",返回错误提示"角色名已存在",通过
TC-032,浏览公共角色,页码：1，每页：10,返回公共角色列表,返回分页的公共角色数据,通过
TC-033,搜索角色,关键字：助手,返回匹配的角色列表,返回名称或描述包含关键字的角色,通过
TC-034,获取角色详情,角色ID：1,返回角色完整信息,返回角色设定、开场白、语音类型等,通过
TC-035,编辑私人角色,角色ID：1，新人设：更新的人设,编辑成功,角色信息更新，重新生成开场白音频,通过
TC-036,删除私人角色,角色ID：1,删除成功,角色被逻辑删除,通过
TC-037,删除他人角色,角色ID：2（他人创建）,提示"无权删除该角色",返回错误提示"无权删除该角色",通过
TC-038,使用公共角色聊天,角色ID：100（公共角色）,聊天成功,使用公共角色的系统提示词,通过
TC-039,使用私人角色聊天,角色ID：1（私人角色）,聊天成功,使用私人角色的系统提示词,通过

表6.4 TTS语音合成模块测试
测试编号,测试项目,输入数据,预期结果,实际结果,是否通过
TC-040,单段文本转语音,文本："你好，我是AI助手",返回音频URL,返回CDN音频URL，可直接播放,通过
TC-041,文本为空,文本：空,提示"文本不能为空",返回错误提示"文本不能为空",通过
TC-042,长文本分段处理,文本：1000字长文本,自动分段，并发处理,分成4段，并发调用TTS,通过
TC-043,指定语音类型,文本："你好"，语音类型：女性,返回女性语音的音频,返回指定语音类型的音频,通过
TC-044,调整语速,文本："你好"，语速：1.5,返回加速的音频,返回语速为1.5倍的音频,通过
TC-045,并发限制,同时提交10个TTS请求,最多4个并发处理,使用Semaphore限制并发数,通过
TC-046,TTS失败降级,TTS服务不可用,返回错误但不阻断对话,对话继续，仅返回文本,通过
TC-047,音频缓存,相同文本第二次请求,返回缓存的音频,直接返回缓存URL，无需重新生成,通过

