表4.1 users用户表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,用户ID（雪花算法生成）,20
username,VARCHAR,否,用户名,50
email,VARCHAR,否,邮箱地址,100
password,VARCHAR,否,密码（加密存储）,255
avatar_url,VARCHAR,否,头像URL,500
status,INT,否,用户状态（1-正常，0-禁用）,
created_at,TIMESTAMP,否,创建时间,
updated_at,TIMESTAMP,否,更新时间,
deleted_at,TIMESTAMP,否,删除时间（逻辑删除）,

表4.2 conversations对话会话表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,会话ID,20
user_id,BIGINT,否,用户ID,20
role_id,BIGINT,否,角色ID,20
model_code,VARCHAR,否,模型代码,50
title,VARCHAR,否,会话标题,200
system_prompt,TEXT,否,系统提示词,
message_count,INT,否,消息数量,
enable_search,BOOLEAN,否,是否启用搜索,
created_at,TIMESTAMP,否,创建时间,
updated_at,TIMESTAMP,否,更新时间,
deleted_at,TIMESTAMP,否,删除时间,

表4.3 conversation_messages对话消息表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,消息ID,20
conversation_id,BIGINT,否,会话ID,20
role,VARCHAR,否,角色（user/assistant）,20
content,TEXT,否,消息内容,
tokens_used,INT,否,使用的token数,
audio_url,VARCHAR,否,音频URL（TTS生成）,500
status,INT,否,消息状态（1-正常，0-撤回）,
created_at,TIMESTAMP,否,创建时间,
updated_at,TIMESTAMP,否,更新时间,

表4.4 roles角色表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,角色ID,20
user_id,BIGINT,否,用户ID,20
name,VARCHAR,否,角色名称,100
description,TEXT,否,角色描述,
personality,TEXT,否,角色人设,
voice_type,VARCHAR,否,语音类型,50
opening_speech,TEXT,否,开场白,
opening_speech_url,VARCHAR,否,开场白音频URL,500
is_public,BOOLEAN,否,是否公开,
created_at,TIMESTAMP,否,创建时间,
updated_at,TIMESTAMP,否,更新时间,

表4.5 ai_models AI模型表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,模型ID,20
provider_code,VARCHAR,否,提供商代码（openai/grok/deepseek）,50
model_code,VARCHAR,否,模型代码,50
model_name,VARCHAR,否,模型名称,100
model_type,VARCHAR,否,模型类型（chat/image/tts/asr）,50
input_price,DECIMAL,否,输入价格（每1K tokens）,
output_price,DECIMAL,否,输出价格（每1K tokens）,
max_tokens,INT,否,最大token数,
status,INT,否,状态（1-启用，0-禁用）,
created_at,TIMESTAMP,否,创建时间,

表4.6 ai_api_keys API密钥表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,密钥ID,20
model_code,VARCHAR,否,模型代码,50
api_key,VARCHAR,否,API密钥,500
base_url,VARCHAR,否,基础URL,500
weight,INT,否,权重（用于轮询）,
status,INT,否,状态（1-正常，0-禁用）,
health_check_time,TIMESTAMP,否,最后健康检查时间,
created_at,TIMESTAMP,否,创建时间,

表4.7 ai_api_call_logs API调用日志表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,日志ID,20
model_code,VARCHAR,否,模型代码,50
user_id,BIGINT,否,用户ID,20
input_tokens,INT,否,输入token数,
output_tokens,INT,否,输出token数,
total_tokens,INT,否,总token数,
cost,DECIMAL,否,费用,
response_time,INT,否,响应时间（毫秒）,
status,INT,否,状态（1-成功，0-失败）,
created_at,TIMESTAMP,否,创建时间,

表4.8 system_config系统配置表
学段名,数据类型,主键,描述,长度
id,BIGINT,是,配置ID,20
config_key,VARCHAR,否,配置键,100
config_value,TEXT,否,配置值,
description,VARCHAR,否,配置描述,500
config_type,VARCHAR,否,配置类型（string/int/boolean）,50
