表名,名称,描述
users,用户表,系统用户基础信息，包含用户ID、用户名、邮箱、密码等
conversations,对话会话表,用户与AI的对话会话记录，包含会话ID、用户ID、角色ID、模型代码等
conversation_messages,对话消息表,存储对话中的消息内容，包含消息ID、会话ID、角色、内容、token数等
roles,角色表,AI角色配置信息，包含角色ID、用户ID、角色名称、人设、语音类型等
ai_models,AI模型表,AI模型配置信息，包含模型ID、提供商代码、模型代码、模型名称、价格等
ai_api_keys,API密钥表,AI服务API密钥池，包含密钥ID、模型代码、API密钥、基础URL、权重、状态等
ai_api_call_logs,API调用日志表,记录每次AI模型调用的详细信息，包含日志ID、模型代码、用户ID、token数、费用等
system_config,系统配置表,系统全局配置信息，支持热更新，包含配置ID、配置键、配置值、描述等
image_generation,图像生成记录表,存储AI图像生成的记录，包含记录ID、会话ID、模型代码、提示词、图片URL等
tts_records,TTS语音记录表,存储文本转语音的记录，包含记录ID、消息ID、音频URL、时长等
search_cache,搜索缓存表,缓存搜索结果，包含缓存ID、查询关键词、搜索结果、过期时间等
rag_documents,RAG文档表,存储RAG知识库的文档，包含文档ID、文档名称、内容、版本等
rag_chunks,RAG分片表,存储文档分片信息，包含分片ID、文档ID、分片内容、向量等
rag_embeddings,RAG向量表,存储文本向量化结果，包含向量ID、分片ID、向量数据、相似度等
rag_knowledge_base,RAG知识库表,知识库配置信息，包含知识库ID、用户ID、知识库名称、描述等
file_uploads,文件上传表,记录用户上传的文件，包含文件ID、用户ID、文件名、文件URL、大小等
message_attachments,消息附件表,存储消息中的附件信息，包含附件ID、消息ID、文件ID、附件类型等
user_api_keys,用户API密钥表,开发者API密钥管理，包含密钥ID、用户ID、密钥值、权限、状态等
rbac_roles,RBAC角色表,系统权限角色定义，包含角色ID、角色名称、描述、权限列表等
rbac_permissions,RBAC权限表,系统权限定义，包含权限ID、权限代码、权限名称、资源、操作等
